InvoiceDate,TimeID,Year,Month,Day
2010-12-01 08:26:00,1,2010,12,1
2010-12-01 08:28:00,2,2010,12,1
2010-12-01 08:34:00,3,2010,12,1
2010-12-01 08:35:00,4,2010,12,1
2010-12-01 08:45:00,5,2010,12,1
2010-12-01 09:00:00,6,2010,12,1
2010-12-01 09:01:00,7,2010,12,1
2010-12-01 09:02:00,8,2010,12,1
2010-12-01 09:09:00,9,2010,12,1
2010-12-01 09:32:00,10,2010,12,1
2010-12-01 09:34:00,11,2010,12,1
2010-12-01 09:37:00,12,2010,12,1
2010-12-01 09:41:00,13,2010,12,1
2010-12-01 09:45:00,14,2010,12,1
2010-12-01 09:49:00,15,2010,12,1
2010-12-01 09:53:00,16,2010,12,1
2010-12-01 09:56:00,17,2010,12,1
2010-12-01 09:57:00,18,2010,12,1
2010-12-01 09:58:00,19,2010,12,1
2010-12-01 09:59:00,20,2010,12,1
2010-12-01 10:03:00,21,2010,12,1
2010-12-01 10:19:00,22,2010,12,1
2010-12-01 10:24:00,23,2010,12,1
2010-12-01 10:29:00,24,2010,12,1
2010-12-01 10:37:00,25,2010,12,1
2010-12-01 10:39:00,26,2010,12,1
2010-12-01 10:47:00,27,2010,12,1
2010-12-01 10:51:00,28,2010,12,1
2010-12-01 10:52:00,29,2010,12,1
2010-12-01 10:53:00,30,2010,12,1
2010-12-01 11:21:00,31,2010,12,1
2010-12-01 11:22:00,32,2010,12,1
2010-12-01 11:27:00,33,2010,12,1
2010-12-01 11:29:00,34,2010,12,1
2010-12-01 11:32:00,35,2010,12,1
2010-12-01 11:33:00,36,2010,12,1
2010-12-01 11:34:00,37,2010,12,1
2010-12-01 11:41:00,38,2010,12,1
2010-12-01 11:45:00,39,2010,12,1
2010-12-01 11:49:00,40,2010,12,1
2010-12-01 11:57:00,41,2010,12,1
2010-12-01 11:58:00,42,2010,12,1
2010-12-01 12:03:00,43,2010,12,1
2010-12-01 12:08:00,44,2010,12,1
2010-12-01 12:12:00,45,2010,12,1
2010-12-01 12:15:00,46,2010,12,1
2010-12-01 12:22:00,47,2010,12,1
2010-12-01 12:23:00,48,2010,12,1
2010-12-01 12:27:00,49,2010,12,1
2010-12-01 12:31:00,50,2010,12,1
2010-12-01 12:35:00,51,2010,12,1
2010-12-01 12:36:00,52,2010,12,1
2010-12-01 12:38:00,53,2010,12,1
2010-12-01 12:40:00,54,2010,12,1
2010-12-01 12:43:00,55,2010,12,1
2010-12-01 12:48:00,56,2010,12,1
2010-12-01 12:49:00,57,2010,12,1
2010-12-01 12:50:00,58,2010,12,1
2010-12-01 12:51:00,59,2010,12,1
2010-12-01 12:54:00,60,2010,12,1
2010-12-01 12:58:00,61,2010,12,1
2010-12-01 13:04:00,62,2010,12,1
2010-12-01 13:17:00,63,2010,12,1
2010-12-01 13:20:00,64,2010,12,1
2010-12-01 13:21:00,65,2010,12,1
2010-12-01 13:23:00,66,2010,12,1
2010-12-01 13:24:00,67,2010,12,1
2010-12-01 13:31:00,68,2010,12,1
2010-12-01 13:33:00,69,2010,12,1
2010-12-01 13:38:00,70,2010,12,1
2010-12-01 13:45:00,71,2010,12,1
2010-12-01 13:51:00,72,2010,12,1
2010-12-01 13:54:00,73,2010,12,1
2010-12-01 14:03:00,74,2010,12,1
2010-12-01 14:05:00,75,2010,12,1
2010-12-01 14:11:00,76,2010,12,1
2010-12-01 14:30:00,77,2010,12,1
2010-12-01 14:33:00,78,2010,12,1
2010-12-01 14:34:00,79,2010,12,1
2010-12-01 14:38:00,80,2010,12,1
2010-12-01 14:41:00,81,2010,12,1
2010-12-01 14:54:00,82,2010,12,1
2010-12-01 15:00:00,83,2010,12,1
2010-12-01 15:06:00,84,2010,12,1
2010-12-01 15:08:00,85,2010,12,1
2010-12-01 15:21:00,86,2010,12,1
2010-12-01 15:27:00,87,2010,12,1
2010-12-01 15:28:00,88,2010,12,1
2010-12-01 15:35:00,89,2010,12,1
2010-12-01 15:37:00,90,2010,12,1
2010-12-01 15:40:00,91,2010,12,1
2010-12-01 15:45:00,92,2010,12,1
2010-12-01 15:46:00,93,2010,12,1
2010-12-01 16:01:00,94,2010,12,1
2010-12-01 16:11:00,95,2010,12,1
2010-12-01 16:13:00,96,2010,12,1
2010-12-01 16:15:00,97,2010,12,1
2010-12-01 16:16:00,98,2010,12,1
2010-12-01 16:17:00,99,2010,12,1
2010-12-01 16:19:00,100,2010,12,1
2010-12-01 16:21:00,101,2010,12,1
2010-12-01 16:22:00,102,2010,12,1
2010-12-01 16:24:00,103,2010,12,1
2010-12-01 16:25:00,104,2010,12,1
2010-12-01 16:33:00,105,2010,12,1
2010-12-01 16:49:00,106,2010,12,1
2010-12-01 16:52:00,107,2010,12,1
2010-12-01 16:57:00,108,2010,12,1
2010-12-01 16:58:00,109,2010,12,1
2010-12-01 17:15:00,110,2010,12,1
2010-12-01 17:22:00,111,2010,12,1
2010-12-01 17:24:00,112,2010,12,1
2010-12-01 17:35:00,113,2010,12,1
2010-12-02 07:48:00,114,2010,12,2
2010-12-02 07:49:00,115,2010,12,2
2010-12-02 08:32:00,116,2010,12,2
2010-12-02 08:33:00,117,2010,12,2
2010-12-02 08:34:00,118,2010,12,2
2010-12-02 08:40:00,119,2010,12,2
2010-12-02 08:43:00,120,2010,12,2
2010-12-02 08:52:00,121,2010,12,2
2010-12-02 09:10:00,122,2010,12,2
2010-12-02 09:29:00,123,2010,12,2
2010-12-02 09:37:00,124,2010,12,2
2010-12-02 09:41:00,125,2010,12,2
2010-12-02 09:42:00,126,2010,12,2
2010-12-02 09:43:00,127,2010,12,2
2010-12-02 09:44:00,128,2010,12,2
2010-12-02 10:09:00,129,2010,12,2
2010-12-02 10:10:00,130,2010,12,2
2010-12-02 10:17:00,131,2010,12,2
2010-12-02 10:18:00,132,2010,12,2
2010-12-02 10:27:00,133,2010,12,2
2010-12-02 10:35:00,134,2010,12,2
2010-12-02 10:37:00,135,2010,12,2
2010-12-02 10:39:00,136,2010,12,2
2010-12-02 10:45:00,137,2010,12,2
2010-12-02 10:46:00,138,2010,12,2
2010-12-02 10:53:00,139,2010,12,2
2010-12-02 10:54:00,140,2010,12,2
2010-12-02 10:55:00,141,2010,12,2
2010-12-02 10:56:00,142,2010,12,2
2010-12-02 10:58:00,143,2010,12,2
2010-12-02 11:02:00,144,2010,12,2
2010-12-02 11:20:00,145,2010,12,2
2010-12-02 11:21:00,146,2010,12,2
2010-12-02 11:22:00,147,2010,12,2
2010-12-02 11:23:00,148,2010,12,2
2010-12-02 11:35:00,149,2010,12,2
2010-12-02 11:41:00,150,2010,12,2
2010-12-02 11:45:00,151,2010,12,2
2010-12-02 11:46:00,152,2010,12,2
2010-12-02 11:56:00,153,2010,12,2
2010-12-02 11:57:00,154,2010,12,2
2010-12-02 12:07:00,155,2010,12,2
2010-12-02 12:09:00,156,2010,12,2
2010-12-02 12:10:00,157,2010,12,2
2010-12-02 12:11:00,158,2010,12,2
2010-12-02 12:16:00,159,2010,12,2
2010-12-02 12:18:00,160,2010,12,2
2010-12-02 12:22:00,161,2010,12,2
2010-12-02 12:23:00,162,2010,12,2
2010-12-02 12:24:00,163,2010,12,2
2010-12-02 12:25:00,164,2010,12,2
2010-12-02 12:26:00,165,2010,12,2
2010-12-02 12:28:00,166,2010,12,2
2010-12-02 12:33:00,167,2010,12,2
2010-12-02 12:47:00,168,2010,12,2
2010-12-02 12:50:00,169,2010,12,2
2010-12-02 12:58:00,170,2010,12,2
2010-12-02 12:59:00,171,2010,12,2
2010-12-02 13:05:00,172,2010,12,2
2010-12-02 13:06:00,173,2010,12,2
2010-12-02 13:08:00,174,2010,12,2
2010-12-02 13:11:00,175,2010,12,2
2010-12-02 13:14:00,176,2010,12,2
2010-12-02 13:32:00,177,2010,12,2
2010-12-02 13:36:00,178,2010,12,2
2010-12-02 13:38:00,179,2010,12,2
2010-12-02 13:39:00,180,2010,12,2
2010-12-02 13:44:00,181,2010,12,2
2010-12-02 13:45:00,182,2010,12,2
2010-12-02 13:49:00,183,2010,12,2
2010-12-02 14:04:00,184,2010,12,2
2010-12-02 14:05:00,185,2010,12,2
2010-12-02 14:06:00,186,2010,12,2
2010-12-02 14:07:00,187,2010,12,2
2010-12-02 14:09:00,188,2010,12,2
